periodo,FBCF,Consumo,PIB
1980/01,207940.6024,646103.7002,927204.1836
1980/02,212478.1591,657379.6863,933252.9495
1980/03,219508.411,673436.8679,953399.6857
1980/04,221777.0604,689951.1735,981008.8666
1981/01,241524.6613,695095.1323,1002914.52
1981/02,254118.7582,705988.7015,1028901.468
1981/03,252878.3296,722940.8254,1034280.137
1981/04,250385.2296,727629.0213,1052810.065
1982/01,241852.04,726366.3241,1032524.649
1982/02,223115.1606,716697.0862,1034098.032
1982/03,204448.4196,694848.0979,1026660.752
1982/04,161293.0087,687741.5008,1004133.468
1983/01,149629.6904,676753.5253,996709.1451
1983/02,146624.5561,675460.1153,976668.168
1983/03,147012.4124,675510.8599,984775.9079
1983/04,156698.6858,679006.1977,996105.2221
1984/01,148544.1892,691526.9657,1023598.862
1984/02,152667.5134,691591.1976,1008532.599
1984/03,170865.5131,702148.3836,1032954.768
1984/04,167755.1065,696759.9584,1023852.056
1985/01,173846.9113,714207.3424,1042579.458
1985/02,174436.0584,718569.7944,1041676.155
1985/03,174660.9624,717894.7956,1048190.845
1985/04,169539.7701,714739.3885,1045345.043
1986/01,167487.3139,719018.6129,1025188.297
1986/02,157600.6251,705340.2781,1021359.016
1986/03,144836.7168,695650.5235,1001971.489
1986/04,142315.9453,684015.9678,999235.876
1987/01,138917.4409,683002.098,1005206.071
1987/02,156653.6746,702292.9722,1032710.832
1987/03,158648.8203,709103.8728,1033816.461
1987/04,160232.0373,713085.9956,1046308.34
1988/01,160361.0673,702877.4493,1039240.462
1988/02,161222.541,701904.2621,1035906.03
1988/03,164993.6993,707048.0288,1037184.571
1988/04,163255.7123,732508.5423,1057847.679
1989/01,170052.6606,751346.6554,1077668.337
1989/02,173039.1885,760965.1965,1078080.066
1989/03,170723.8667,774083.6452,1098176.815
1989/04,173037.5343,765341.8903,1088493.403
1990/01,181301.8509,784039.9512,1112159.915
1990/02,190850.61,805361.6645,1136291.587
1990/03,197620.6345,828329.1174,1151792.156
1990/04,207402.519,829902.5514,1166430.903
1991/01,208060.9673,821353.4699,1169645.683
1991/02,213359.81,841839.0732,1187543.903
1991/03,211257.7771,860376.0917,1189752.061
1991/04,229479.6322,876346.0736,1211240.999
1992/01,230293.2725,845970.7271,1211135.12
1992/02,239085.2282,891561.5395,1230995.631
1992/03,245420.1622,904953.2647,1242426.386
1992/04,241372.9348,917541.6695,1243461.42
1993/01,234806.8734,914865.5584,1248740.049
