periodo,FBCF,PIB,Consumo
1980/01,207940.6024,927204.1836,646103.7002
1980/02,212478.1591,933252.9495,657379.6863
1980/03,219508.411,953399.6857,673436.8679
1980/04,221777.0604,981008.8666,689951.1735
1981/01,241524.6613,1002914.52,695095.1323
1981/02,254118.7582,1028901.468,705988.7015
1981/03,252878.3296,1034280.137,722940.8254
1981/04,250385.2296,1052810.065,727629.0213
1982/01,241852.04,1032524.649,726366.3241
1982/02,223115.1606,1034098.032,716697.0862
1982/03,204448.4196,1026660.752,694848.0979
1982/04,161293.0087,1004133.468,687741.5008
1983/01,149629.6904,996709.1451,676753.5253
1983/02,146624.5561,976668.168,675460.1153
1983/03,147012.4124,984775.9079,675510.8599
1983/04,156698.6858,996105.2221,679006.1977
1984/01,148544.1892,1023598.862,691526.9657
1984/02,152667.5134,1008532.599,691591.1976
1984/03,170865.5131,1032954.768,702148.3836
1984/04,167755.1065,1023852.056,696759.9584
1985/01,173846.9113,1042579.458,714207.3424
1985/02,174436.0584,1041676.155,718569.7944
1985/03,174660.9624,1048190.845,717894.7956
1985/04,169539.7701,1045345.043,714739.3885
1986/01,167487.3139,1025188.297,719018.6129
1986/02,157600.6251,1021359.016,705340.2781
1986/03,144836.7168,1001971.489,695650.5235
1986/04,142315.9453,999235.876,684015.9678
1987/01,138917.4409,1005206.071,683002.098
1987/02,156653.6746,1032710.832,702292.9722
1987/03,158648.8203,1033816.461,709103.8728
1987/04,160232.0373,1046308.34,713085.9956
1988/01,160361.0673,1039240.462,702877.4493
1988/02,161222.541,1035906.03,701904.2621
1988/03,164993.6993,1037184.571,707048.0288
1988/04,163255.7123,1057847.679,732508.5423
1989/01,170052.6606,1077668.337,751346.6554
1989/02,173039.1885,1078080.066,760965.1965
1989/03,170723.8667,1098176.815,774083.6452
1989/04,173037.5343,1088493.403,765341.8903
1990/01,181301.8509,1112159.915,784039.9512
1990/02,190850.61,1136291.587,805361.6645
1990/03,197620.6345,1151792.156,828329.1174
1990/04,207402.519,1166430.903,829902.5514
1991/01,208060.9673,1169645.683,821353.4699
1991/02,213359.81,1187543.903,841839.0732
1991/03,211257.7771,1189752.061,860376.0917
1991/04,229479.6322,1211240.999,876346.0736
1992/01,230293.2725,1211135.12,845970.7271
1992/02,239085.2282,1230995.631,891561.5395
1992/03,245420.1622,1242426.386,904953.2647
1992/04,241372.9348,1243461.42,917541.6695
1993/01,234806.8734,1248740.049,914865.5584
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Fuentes: f1/ INEGI. Series calculadas por métodos econométricos a partir de las series originales del Producto Interno Bruto trimestral.f2/ INEGI. Series calculadas por métodos econométricos a partir de las series originales de la Oferta y Demanda Global de Bienes y Servicios.f3/ INEGI. Dirección General de Contabilidad Nacional y Estadísticas Económicas. ""

Fecha de consulta: 04/03/2020 19:08:49",,,
