periodo,Import,Consumo,Gobierno,FBCF,Var_existencias,Export
1993/01,1495282.532,6243934.018,1400835.53,2066932.612,92200.00865,1432651.503
1993/02,1571075.158,6320125.171,1406367.334,2086031.058,176088.1286,1468843.154
1993/03,1574946.148,6291763.782,1408275.631,2138314.217,129844.0812,1489670.525
1993/04,1670280.54,6395960.083,1424431.807,2284522.311,101435.66,1560121.539
1994/01,1785009.68,6442283.269,1447472.104,2420169.531,111657.045,1589156.794
1994/02,1833387.403,6628433.902,1456418.702,2489512.525,176732.2745,1585392.773
1994/03,1881511.464,6735138.354,1451575.455,2508145.547,139001.7334,1618334.722
1994/04,1931466.017,6778875.501,1453266.978,2416652.489,125097.2176,1683176.406
1995/01,1492366.529,6328352.175,1443787.143,1676331.779,194166.046,1781870.232
1995/02,1539875.24,6197712.02,1431195.494,1476960.756,163290.7614,1938480.562
1995/03,1600175.772,6254196.449,1440168.171,1503244.744,207377.4671,2070859.978
1995/04,1612497.732,6254165.483,1430816.74,1639320.369,266002.3411,1994159.429
1996/01,1717927.522,6385328.534,1425860.044,1715424.754,188423.8059,2199531.267
1996/02,1762741.963,6420527.233,1428254.602,1814085.847,168800.0182,2241332.575
1996/03,1817986.264,6556489.796,1437460.358,1940587.296,204060.35,2253642.895
1996/04,1997052.194,6734446.242,1453140.412,2058016.551,167850.748,2292618.249
1997/01,1993971.841,6799085.262,1484218.711,2002630.21,203901.3666,2365444.73
1997/02,2158517.371,6971582.624,1502057.283,2144511.247,181430.3417,2420165.019
1997/03,2385628.607,7076598.649,1512529.551,2241555.968,180556.8014,2506987.204
1997/04,2475010.39,7260915.878,1523716.343,2289932.096,184839.2096,2535348.189
1998/01,2553520.793,7373848.044,1508995.467,2334822.562,223858.378,2633201.71
1998/02,2598736.497,7479827.43,1517424.01,2391249.725,183404.0397,2636314.192
1998/03,2578547.203,7526600.76,1533645.195,2430535.766,196197.5201,2567284.427
1998/04,2641749.086,7541544.737,1547054.857,2436122.51,207076.8838,2716323.131
1999/01,2686347.222,7720793.037,1587668.273,2515136.722,102570.8309,2698068.64
1999/02,2829181.682,7766572.086,1606251.962,2516063.72,150324.2411,2751124.758
1999/03,2966491.141,7908337.811,1615098.516,2520686.775,145101.3676,2811784.168
1999/04,3073244.358,7970978.126,1617511.587,2569939.808,181020.8797,2862169.161
2000/01,3260431.594,8144728.2,1665822.208,2655936.598,183006.8412,2976587.931
2000/02,3362080.418,8329306.138,1656506.23,2693806.453,184670.0113,3067627.014
2000/03,3593703.892,8476174.566,1657916.287,2682529.108,145379.0901,3161054.283
2000/04,3626503.999,8570359.136,1647005.367,2618738.536,108383.54,3202952.543
2001/01,3544323.554,8578808.558,1609261.164,2510897.647,137604.9074,3151593.781
2001/02,3468423.682,8586042.76,1605641.425,2428810.785,104007.6344,3135412.869
2001/03,3392370.826,8609549.187,1616379.093,2484861.746,99027.88161,3043776.635
2001/04,3407058.875,8674657.804,1615490.282,2453674.52,70470.31049,3017102.525
2002/01,3479835.813,8700094.016,1614399.168,2386886.193,49272.86997,3045349.143
2002/02,3565851.961,8783239.642,1607925.382,2406219.147,168617.1206,3090539.62
2002/03,3575273.418,8791485.08,1626598.583,2436271.209,207699.6581,3127731.982
2002/04,3350424.055,8755348.712,1620150.45,2433240.484,146010.1155,3131573.307
2003/01,3783996.727,8899394.304,1625862.459,2447920.132,245628.5493,3080860.883
2003/02,3539740.821,8890225.739,1636421.479,2447569.308,140282.226,3066563.798
2003/03,3523739.734,8947281.792,1598132.248,2428613.325,105239.5742,3204468.21
2003/04,3490040.48,9078921.956,1597669.965,2438508.055,162958.4464,3278507.694
2004/01,3585474.069,9131846.549,1602698.943,2561891.383,185310.6935,3385276.36
2004/02,3764138.284,9306003.505,1606016.47,2615550.071,249049.0835,3468146.569
2004/03,3850815.972,9439078.906,1583557.339,2597025.112,236016.1245,3494702.987
2004/04,3960120.393,9554047.029,1602685.19,2669271.551,182437.278,3530942.257
2005/01,3915990.735,9574157.05,1610391.877,2723565.667,148035.2916,3565208.458
2005/02,3898290.798,9575241.562,1618135.415,2722626.196,75437.62862,3665107.172
2005/03,4006149.63,9693941.979,1643218.099,2768683.657,113348.3118,3639601.667
2005/04,4232653.964,9713583.703,1666680.494,2864922.967,152735.7358,3875949.438
2006/01,4327501.705,9936565.022,1689667.729,2933345.23,169151.9732,4031334.961
2006/02,4384808.686,10045952.2,1688942.244,3019759.312,227384.3427,4026162.098
2006/03,4418627.645,10044578.23,1671043.392,3072907.793,194080.4477,3924027.862
2006/04,4340205.513,10092712.23,1664874.342,3087065.115,109774.3592,3929171.488
2007/01,4426918.163,10237301.43,1681086.024,3074083.047,171413.5013,3966619.303
2007/02,4557302.997,10332805.74,1704061.056,3138256.058,166127.8282,4072511.049
2007/03,4659199.949,10282693,1718527.469,3238955.625,151355.7608,4114954.527
2007/04,4664239.964,10272800.04,1733128.1,3369183.577,156143.17,4065197.248
2008/01,4684189.033,10403598.66,1721527.592,3414753.107,80395.73077,4106149.472
2008/02,4744118.228,10496823.43,1758942.359,3462936.882,139745.4482,4117489.263
2008/03,4963630.884,10407193.38,1767012.173,3456739.51,134684.2465,4064117.566
2008/04,4437372.217,10016023.22,1788880.252,3340337.886,143628.9055,3781840.794
2009/01,3867911.804,9607525.723,1790494.573,3002074.097,69501.6997,3451922.355
2009/02,3586234.551,9501066.93,1808032.083,3004633.834,49936.62629,3354800.377
2009/03,4119040.556,9750266.673,1822025.678,3035462.123,140738.0968,3584263.946
2009/04,4314212.114,9959008.182,1824345.571,3032198.718,153774.0375,3912577.816
2010/01,4494220.756,9939762.26,1823168.774,3136563.91,183335.2719,4148719.677
2010/02,4637302.142,10020630.32,1856476.364,3150069.58,165341.5185,4355368.8
2010/03,4705596.639,10054460.41,1867693.878,3135377.927,153377.9616,4452254.747
2010/04,4768472.572,10203152.43,1863549.542,3214548.753,191684.6862,4551254.801
2011/01,4867620.548,10223062,1875921.603,3227483.702,174953.2306,4722873.336
2011/02,4868390.062,10364559.45,1889270.369,3378963.74,134892.9182,4697044.197
2011/03,4982086.156,10493129.85,1926596.522,3462376.374,125009.5812,4730826.345
2011/04,4939351.847,10493047.54,1945336.028,3552393.778,128017.4388,4722020.701
2012/01,5072214.354,10598118.21,1969286.169,3544996.34,172729.7362,5023130.436
2012/02,5143033.655,10578440.63,1983971.053,3581173.088,186696.062,5078414.041
2012/03,5112613.635,10615780.03,1968221.904,3628238.678,117943.1099,4985821.375
2012/04,5287612.811,10661588.61,1973735.538,3556749.449,171800.7734,5017556.165
2013/01,5286991.475,10845386.97,1960498.821,3540534.525,76417.12673,4987313.5
2013/02,5292063.916,10767749.12,1956255.998,3439625.783,281500.3591,5064935.918
2013/03,5300876.032,10814770.64,1998526.553,3407986.183,271056.8846,5158190.753
2013/04,5274948.473,10873487.43,2023313.869,3452070.439,183036.8433,5161775.028
2014/01,5408023.863,10910655.55,2012259.538,3454483.458,107913.5719,5168959.363
2014/02,5579100.134,11104816.44,2011231.398,3541717.376,109446.2828,5387111.716
2014/03,5623074.527,11060605.77,2062266.795,3553520.201,181434.727,5527159.609
2014/04,5791267.232,11129879.24,2061872.341,3707618.538,244644.2957,5704394.617
2015/01,5783318.025,11198781.5,2082826.939,3615795.617,207138.4299,5754398.965
2015/02,5931548.839,11276520.52,2067720.903,3750672.465,140170.4175,5906629.909
2015/03,6034278.235,11383042.27,2067953.332,3839383.736,100397.9136,6016792.539
2015/04,5983039.719,11541333.61,2085134.655,3778988.261,122454.9248,5960984.049
2016/01,5938844.227,11611235.95,2097431.104,3803775.612,194989.8059,6003545.358
2016/02,6005935.946,11615440.49,2118812.396,3750365.425,178131.7884,5984834.236
2016/03,6161872.99,11808783.66,2150296.714,3764327.24,131116.8226,6248996.955
2016/04,6176246.478,11953865.55,2153070.493,3830547.159,118467.1117,6251367.4
2017/01,6408841.234,12032059.11,2137597.933,3716737.683,189650.901,6509190.284
2017/02,6451191.89,12149631.45,2135368.143,3708553.422,161650.7312,6297541.745
2017/03,6491483.498,12187957.18,2139011.594,3733042.346,135056.9641,6229343.808
2017/04,6616368.937,12247628.2,2163483.929,3759598.347,118402.8025,6482072.287
2018/01,6869873.095,12432027,2212988.219,3834111.649,133678.6688,6675782.291
2018/02,6784697.774,12415784.04,2235595.934,3817201.294,104273.746,6798577.527
2018/03,6881197.474,12477622.49,2200492.005,3756387.948,140524.4483,6786654.257
2018/04,6957281.71,12417552.85,2183049.064,3642723.935,132713.4612,6759301.635
2019/01,6854726.299,12431273.59,2183376.797,3723153.158,67011.63978,6802106.685
2019/02,6829485.577,12498878.86,2178017.497,3594507.428,87207.79262,6982821.092
2019/03,6870066.663,12568885.94,2159685.347,3516287.083,128307.5246,7025766.449
,,,,,,
,,,,,,
