quarter_text,estado,inversion,exportaciones,quarter,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-1,Aguascalientes,312.55231,975.43298,2008q1,.,43.5,84.04821,204.02333,0.2530424,0.044503122,1.4633674,3.49E-03,0.064999998
2008-1,Baja California,324.30173,7219.1279,2008q1,.,43.700001,96.944252,231.94334,0.25836957,0.053863645,6.5944027,0.019144309,0.023
2008-1,Baja California Sur,224.48451,37.951,2008q1,.,42.400002,95.281441,217.60333,0.31039599,0.050204835,3.5729108,0.005020484,0.046
2008-1,Campeche,13.404481,8397.4775,2008q1,.,43,89.090393,243.48666,0.22927856,0.042270367,0.12556785,0,0.17799999
2008-1,Chiapas,47.76664,225.42999,2008q1,.,42.599998,90.900093,181.81999,0.15280692,0.060832568,0.36182706,0.004646932,0.32499999
2008-1,Chihuahua,470.38544,6673.3418,2008q1,.,42.700001,88.074699,206.33667,0.20561457,0.14131595,2.4492808,0.014366144,0.043000001
2008-1,Ciudad de México,2731.0486,637.33197,2008q1,.,42.5,83.036346,303.78333,0.36397746,0.042470176,2.4478873,0.014491136,0.068999998
2008-1,Coahuila,153.50655,5391.7358,2008q1,.,40.700001,92.264267,207.64999,0.22966507,0.046115649,1.4459487,0,0.107
2008-1,Colima,21.98823,17.457001,2008q1,.,42.799999,86.58139,188.93333,0.24616233,0.044767694,1.0232616,0,0.088
2008-1,Durango,71.170471,183.07001,2008q1,.,42.799999,83.677307,168.31334,0.19404593,0.10372676,1.1033316,0.013583265,0.127
2008-1,Estado de México,1136.8722,2441.3401,2008q1,.,44.400002,84.927773,228.95667,0.21755536,0.02985834,1.5877809,0,0.101
2008-1,Guanajuato,305.18701,1565.124,2008q1,.,42.400002,81.830772,187.28,0.15177605,0.055231689,1.2352318,0.004987477,0.109
2008-1,Guerrero,39.510906,91.266998,2008q1,.,42.900002,92.823586,189.65666,0.21261553,0.093213326,0.48358124,0.002968577,0.17399999
2008-1,Hidalgo,55.32674,474.75,2008q1,.,40.599998,87.236046,192.44667,0.16385446,0.0308934,0.89552236,0.00617868,0.17899999
2008-1,Jalisco,205.40254,3227.7371,2008q1,.,40.200001,88.176605,217.34332,0.22427911,0.041838623,0.83928276,0.01408567,0.081
2008-1,Michoacán,79.523148,204.714,2008q1,.,40.5,91.6166,188.92667,0.14823584,0.096843258,1.1419627,0.009035615,0.132
2008-1,Morelos,285.77448,470.02499,2008q1,.,42.599998,93.892151,216.88667,0.22720593,0.10612197,1.996814,0.032123407,0.111
2008-1,Nayarit,28.764318,3.5569999,2008q1,.,39.900002,94.684677,177.74001,0.22274201,0.091444854,0.59724925,0.000952551,0.14300001
2008-1,Nuevo León,364.99942,5451.895,2008q1,.,42.400002,88.93631,254.97,0.20909157,0.045404042,1.7564311,0.000440816,0.064999998
2008-1,Oaxaca,44.45393,308.754,2008q1,.,41.599998,92.198608,183.25999,0.15375353,0.091247952,0.56357478,0.020306625,0.21700001
2008-1,Puebla,131.76184,2056.4751,2008q1,.,40.900002,89.660255,208.71666,0.16817053,0.058998408,0.86425641,0,0.20100001
2008-1,Querétaro,211.99458,1028.6949,2008q1,.,42.700001,84.718536,251.10333,0.2255183,0.03167781,1.1041979,0.003959726,0.066
2008-1,Quintana Roo,85.914337,15.36,2008q1,.,43.900002,92.500084,185.34332,0.27690244,0.12041413,2.3577085,0.010435891,0.086999997
2008-1,San Luis Potosí,224.67743,1181.88,2008q1,.,40,85.903076,204.52,0.17769843,0.05857625,1.3012576,0.021228976,0.185
2008-1,Sinaloa,97.388802,90.823997,2008q1,.,41.200001,94.209747,168.96333,0.23315623,0.12110447,0.89134334,0.00432516,0.096999995
2008-1,Sonora,246.44719,3102.7539,2008q1,.,42.599998,81.868401,186.72333,0.2441556,0.076871715,1.225358,0.002677124,0.081999995
2008-1,Tabasco,51.019398,2628.6941,2008q1,.,42.700001,85.084167,198.71001,0.23336777,0.05930995,1.2464215,0.006387226,0.14300001
2008-1,Tamaulipas,199.98697,5691.3359,2008q1,.,41.900002,103.34737,207.77333,0.24917783,0.059956303,1.8042809,0.007145052,0.107
2008-1,Tlaxcala,61.527565,192.198,2008q1,.,40.5,87.562119,194.78999,0.21818618,0.081417253,0.43685173,0,0.17799999
2008-1,Veracruz,136.44673,1280.161,2008q1,.,44.900002,91.286072,217.52667,0.18078774,0.053144919,0.7044021,0.011530195,0.152
2008-1,Yucatán,50.316135,252.33701,2008q1,.,39.599998,89.388527,177.50667,0.17041281,0.034454424,1.0200598,0,0.20999999
2008-1,Zacatecas,132.23326,675.14697,2008q1,.,40.299999,79.352524,176.32666,0.14022855,0.03334193,0.95534837,0.00544358,0.125
2008-2,Aguascalientes,-78.206314,1168.812,2008q2,0,45.200001,88.476334,201.16666,0.2605761,0.058194073,1.6815482,0.016502796,0.056999996
2008-2,Baja California,566.16437,8310.4082,2008q2,2,43.400002,101.59225,231.84334,0.25616094,0.052619042,6.3042776,0.030344723,0.032000002
2008-2,Baja California Sur,246.57176,60.855999,2008q2,0,42.700001,99.342674,218.25,0.31173503,0.051433246,3.5588488,0.01659137,0.050000001
2008-2,Campeche,120.9557,9834.249,2008q2,0,44.200001,93.014206,244.44333,0.22796923,0.029708192,0.1138814,0,0.16700001
2008-2,Chiapas,26.879128,268.698,2008q2,0,42.200001,93.877869,181.40334,0.15415011,0.062069157,0.34464162,0.003366463,0.32700002
2008-2,Chihuahua,800.12531,7585.2368,2008q2,1,43.299999,94.314346,209.71667,0.2087412,0.18921995,2.7206207,0.018980396,0.032000002
2008-2,Ciudad de México,2181.9253,777.66901,2008q2,9,42.700001,95.651787,304.40332,0.36212224,0.040022318,2.4715732,0.022296557,0.086999997
2008-2,Coahuila,162.04501,5882.6641,2008q2,0,41.400002,95.055702,209.74001,0.22465958,0.048538925,1.6336497,0,0.098000005
2008-2,Colima,127.33932,23.452,2008q2,0,42.200001,86.077164,192.48,0.24454379,0.049297825,0.95733191,0,0.096999995
2008-2,Durango,120.15828,250.709,2008q2,0,43.5,87.057198,167.59,0.19522911,0.14273023,0.96958125,0.017226062,0.105
2008-2,Estado de México,616.40485,2669.844,2008q2,1,45.5,90.85482,229.53334,0.22019725,0.037518577,1.6594806,0,0.096999995
2008-2,Guanajuato,236.92979,1653.208,2008q2,3,42.900002,87.962593,188.50333,0.14731145,0.051570536,1.3222317,0.005709595,0.116
2008-2,Guerrero,58.682518,55.244999,2008q2,3,44.599998,95.738716,190.87666,0.20819677,0.10572292,0.4987042,0.005034425,0.133
2008-2,Hidalgo,38.594273,589.23102,2008q2,1,41.599998,92.550842,192.24001,0.1633313,0.044617151,0.97542326,0.007307982,0.185
2008-2,Jalisco,386.44934,3984.3059,2008q2,10,41.299999,91.550919,219.84666,0.22783558,0.04333934,0.81775221,0.022642027,0.083999999
2008-2,Michoacán,51.770321,256.83801,2008q2,2,40.299999,95.351425,189.62666,0.15269333,0.097511154,1.0331098,0.011091316,0.141
2008-2,Morelos,-39.42997,507.86499,2008q2,0,43.599998,93.627518,221.78334,0.22237825,0.11829504,2.0275884,0.033716944,0.109
2008-2,Nayarit,58.291725,7.6599998,2008q2,0,40.200001,95.342735,179.58334,0.22599262,0.092828872,0.55034261,0,0.152
2008-2,Nuevo León,466.55408,5697.9961,2008q2,4,43.799999,93.029739,257.49667,0.20697214,0.040158386,1.8238052,0.001755558,0.067000002
2008-2,Oaxaca,82.449203,380.767,2008q2,0,42.900002,93.646561,184.95667,0.15555519,0.065528387,0.51370042,0.025000789,0.21600001
2008-2,Puebla,103.54082,2422.075,2008q2,3,41.5,91.955467,206.27667,0.15950097,0.059335194,0.9052555,0,0.19399999
2008-2,Querétaro,458.34698,1081.024,2008q2,0,43.200001,88.359444,253.34666,0.2313695,0.026459375,1.221072,0.002814827,0.075000003
2008-2,Quintana Roo,113.65807,11.662,2008q2,0,44.400002,94.306717,186.76666,0.27650055,0.11619199,2.3461231,0.023875067,0.079999998
2008-2,San Luis Potosí,60.591297,1221.155,2008q2,1,42.099998,89.916389,205.03999,0.17857128,0.034096054,1.0953847,0.029001241,0.17299999
2008-2,Sinaloa,24.011841,93.746002,2008q2,2,41.900002,95.81781,172.71001,0.23217461,0.16170711,0.93502644,0.007905681,0.081999995
2008-2,Sonora,753.16003,3246.0481,2008q2,1,43.5,90.432518,188.58667,0.24663258,0.090620408,1.2169026,0.00571137,0.07
2008-2,Tabasco,21.547731,3067.874,2008q2,0,44.400002,88.269341,196.76666,0.24161789,0.063672684,1.5026754,0.012279732,0.134
2008-2,Tamaulipas,190.73332,6651.3521,2008q2,1,42.200001,105.1002,210.84,0.25691733,0.067439854,1.9003808,0.006805857,0.107
2008-2,Tlaxcala,2.130584,252.42101,2008q2,0,42,93.236168,193.67334,0.21135856,0.09328944,0.46208786,0,0.17200001
2008-2,Veracruz,146.25441,1581.964,2008q2,0,44.099998,94.117874,212.73334,0.1799354,0.054875589,0.73189492,0.012561882,0.153
2008-2,Yucatán,46.56686,259.034,2008q2,0,39.900002,89.551109,178.81667,0.17351587,0.027569231,0.9300714,0,0.199
2008-2,Zacatecas,252.07187,624.67102,2008q2,1,40.599998,84.390945,177.88667,0.13729107,0.034602359,0.95936732,0.004070866,0.125
2008-3,Aguascalientes,48.819744,1284.78,2008q3,0,45.700001,89.032631,204.23334,0.25510767,0.06137669,1.6978002,0.011237985,0.059999999
2008-3,Baja California,320.22516,9439.3232,2008q3,3,44.5,99.852127,232.50999,0.24844968,0.044960507,5.9758932,0.017020762,0.034000002
2008-3,Baja California Sur,243.0957,44.073002,2008q3,0,42.400002,93.712822,222.17332,0.29401374,0.031247739,3.4356066,0.014801561,0.046999998
2008-3,Campeche,1.359735,9201.8682,2008q3,0,44.099998,95.056374,249.22334,0.2200831,0.041899166,0.11337421,0,0.169
2008-3,Chiapas,-22.658123,258.76501,2008q3,0,42.299999,91.935371,180.76001,0.15465122,0.055327528,0.34789278,0.005868071,0.31799999
2008-3,Chihuahua,448.07925,7434.0952,2008q3,3,43.400002,92.176224,212.84666,0.20353912,0.20880373,3.1416528,0.015994714,0.039000001
2008-3,Ciudad de México,421.66876,799.59998,2008q3,16,44.099998,92.881912,305.61002,0.36627001,0.041477066,2.6511874,0.028431859,0.071000002
2008-3,Coahuila,85.975945,5209.6479,2008q3,2,42.900002,92.03717,212.34999,0.2233135,0.047249348,1.5854372,0,0.085000001
2008-3,Colima,8.2306051,23.413,2008q3,6,43.299999,86.823364,198.07668,0.2511583,0.041111398,1.0894521,0,0.072999999
2008-3,Durango,122.31697,297.71201,2008q3,2,44.299999,89.770943,170.52667,0.19727758,0.14038305,1.228505,0.012873556,0.101
2008-3,Estado de México,382.68256,2454.7129,2008q3,20,45.599998,87.53952,230.17334,0.21858792,0.040064613,1.7095782,0,0.101
2008-3,Guanajuato,117.87709,1618.213,2008q3,13,43,83.617874,189.72333,0.1467385,0.035621761,1.3991641,0.008630014,0.112
2008-3,Guerrero,455.1145,56.291,2008q3,10,42.700001,95.295288,195.82333,0.19774817,0.10043592,0.52522076,0.004135597,0.169
2008-3,Hidalgo,10.646743,606.42499,2008q3,1,41.900002,91.589272,194.93666,0.1639497,0.032558393,0.99360559,0.008043839,0.16700001
2008-3,Jalisco,153.97487,4371.6509,2008q3,12,41.599998,89.864273,221.90334,0.21742642,0.036244761,0.79738471,0.025454336,0.079000004
2008-3,Michoacán,15.998362,440.63699,2008q3,6,39,91.282875,197.17667,0.15481748,0.11244646,1.1161694,0.02834204,0.13
2008-3,Morelos,9.9125547,529.31097,2008q3,7,43.700001,92.129654,219.84334,0.22925231,0.11215077,1.9281962,0.049528513,0.107
2008-3,Nayarit,10.806921,20.273001,2008q3,10,40.799999,92.844971,182.61667,0.22303049,0.076286844,0.54436788,0,0.146
2008-3,Nuevo León,371.12973,5730.6899,2008q3,4,44.200001,90.609627,258.86002,0.20877299,0.033646185,2.1780443,0.002840262,0.063000001
2008-3,Oaxaca,66.968895,444.16501,2008q3,3,43,89.08345,186.01334,0.14695063,0.049364149,0.52646338,0.020480869,0.214
