quarter_text,nuevas,reinversion,entre_cias,inversion,exportaciones,estado,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-1,9.8511362,314.83972,-12.138535,312.55231,975.43298,Aguascalientes,.,43.5,84.04821,204.02333,0.2530424,0.044503122,1.4633674,3.49E-03,0.064999998
2008-1,159.22972,78.576813,86.495186,324.30173,7219.1279,Baja California,.,43.700001,96.944252,231.94334,0.25836957,0.053863645,6.5944027,0.019144309,0.023
2008-1,65.74366,16.476076,142.26479,224.48451,37.951,Baja California Sur,.,42.400002,95.281441,217.60333,0.31039599,0.050204835,3.5729108,0.005020484,0.046
2008-1,-0.30426899,14.659846,-0.951096,13.404481,8397.4775,Campeche,.,43,89.090393,243.48666,0.22927856,0.042270367,0.12556785,0,0.17799999
2008-1,-1.4840111,51.413097,-2.1624451,47.76664,225.42999,Chiapas,.,42.599998,90.900093,181.81999,0.15280692,0.060832568,0.36182706,0.004646932,0.32499999
2008-1,37.784233,161.82472,270.77649,470.38544,6673.3418,Chihuahua,.,42.700001,88.074699,206.33667,0.20561457,0.14131595,2.4492808,0.014366144,0.043000001
2008-1,1161.9769,1613.4866,-44.414829,2731.0486,637.33197,Ciudad de México,.,42.5,83.036346,303.78333,0.36397746,0.042470176,2.4478873,0.014491136,0.068999998
2008-1,83.18383,65.395508,4.9272132,153.50655,5391.7358,Coahuila,.,40.700001,92.264267,207.64999,0.22966507,0.046115649,1.4459487,0,0.107
2008-1,-5.6158423,18.813196,8.7908764,21.98823,17.457001,Colima,.,42.799999,86.58139,188.93333,0.24616233,0.044767694,1.0232616,0,0.088
2008-1,-1.272807,28.531258,43.912018,71.170471,183.07001,Durango,.,42.799999,83.677307,168.31334,0.19404593,0.10372676,1.1033316,0.013583265,0.127
2008-1,190.75053,846.33899,99.782646,1136.8722,2441.3401,Estado de México,.,44.400002,84.927773,228.95667,0.21755536,0.02985834,1.5877809,0,0.101
2008-1,61.6479,198.78812,44.750996,305.18701,1565.124,Guanajuato,.,42.400002,81.830772,187.28,0.15177605,0.055231689,1.2352318,0.004987477,0.109
2008-1,6.5464568,42.739475,-9.7750263,39.510906,91.266998,Guerrero,.,42.900002,92.823586,189.65666,0.21261553,0.093213326,0.48358124,0.002968577,0.17399999
2008-1,-0.597431,64.211693,-8.2875214,55.32674,474.75,Hidalgo,.,40.599998,87.236046,192.44667,0.16385446,0.0308934,0.89552236,0.00617868,0.17899999
2008-1,11.119258,219.30376,-25.020458,205.40254,3227.7371,Jalisco,.,40.200001,88.176605,217.34332,0.22427911,0.041838623,0.83928276,0.01408567,0.081
2008-1,8.2431393,64.047127,7.2328801,79.523148,204.714,Michoacán,.,40.5,91.6166,188.92667,0.14823584,0.096843258,1.1419627,0.009035615,0.132
2008-1,-1.353446,269.90326,17.224659,285.77448,470.02499,Morelos,.,42.599998,93.892151,216.88667,0.22720593,0.10612197,1.996814,0.032123407,0.111
2008-1,5.6761069,12.185184,10.903027,28.764318,3.5569999,Nayarit,.,39.900002,94.684677,177.74001,0.22274201,0.091444854,0.59724925,0.000952551,0.14300001
2008-1,69.536583,252.26494,43.19788,364.99942,5451.895,Nuevo León,.,42.400002,88.93631,254.97,0.20909157,0.045404042,1.7564311,0.000440816,0.064999998
2008-1,6.4344831,37.101067,0.91838098,44.45393,308.754,Oaxaca,.,41.599998,92.198608,183.25999,0.15375353,0.091247952,0.56357478,0.020306625,0.21700001
2008-1,16.756727,98.327095,16.67802,131.76184,2056.4751,Puebla,.,40.900002,89.660255,208.71666,0.16817053,0.058998408,0.86425641,0,0.20100001
2008-1,51.290798,92.760063,67.943718,211.99458,1028.6949,Querétaro,.,42.700001,84.718536,251.10333,0.2255183,0.03167781,1.1041979,0.003959726,0.066
2008-1,271.52209,37.401573,-223.0047,85.918961,15.36,Quintana Roo,.,43.900002,92.500084,185.34332,0.27690244,0.12041413,2.3577085,0.010435891,0.086999997
2008-1,115.70448,45.504429,63.468517,224.67743,1181.88,San Luis Potosí,.,40,85.903076,204.52,0.17769843,0.05857625,1.3012576,0.021228976,0.185
2008-1,7.3595233,63.514263,26.515015,97.388802,90.823997,Sinaloa,.,41.200001,94.209747,168.96333,0.23315623,0.12110447,0.89134334,0.00432516,0.096999995
2008-1,133.3604,88.705223,24.381565,246.44719,3102.7539,Sonora,.,42.599998,81.868401,186.72333,0.2441556,0.076871715,1.225358,0.002677124,0.081999995
2008-1,0.725784,57.38623,-7.0926161,51.019398,2628.6941,Tabasco,.,42.700001,85.084167,198.71001,0.23336777,0.05930995,1.2464215,0.006387226,0.14300001
2008-1,14.774125,107.70903,77.503815,199.98697,5691.3359,Tamaulipas,.,41.900002,103.34737,207.77333,0.24917783,0.059956303,1.8042809,0.007145052,0.107
2008-1,5.3998108,48.526749,7.601006,61.527565,192.198,Tlaxcala,.,40.5,87.562119,194.78999,0.21818618,0.081417253,0.43685173,0,0.17799999
2008-1,13.564647,138.27788,-15.395795,136.44673,1280.161,Veracruz,.,44.900002,91.286072,217.52667,0.18078774,0.053144919,0.7044021,0.011530195,0.152
2008-1,3.5154698,41.449635,5.3510332,50.316135,252.33701,Yucatán,.,39.599998,89.388527,177.50667,0.17041281,0.034454424,1.0200598,0,0.20999999
2008-1,0.80144203,118.87808,12.553735,132.23326,675.14697,Zacatecas,.,40.299999,79.352524,176.32666,0.14022855,0.03334193,0.95534837,0.00544358,0.125
2008-2,4.5002928,13.50207,-96.208679,-78.206314,1168.812,Aguascalientes,0,45.200001,88.476334,201.16666,0.2605761,0.058194073,1.6815482,0.016502796,0.056999996
2008-2,118.26168,64.625664,383.27701,566.16437,8310.4082,Baja California,2,43.400002,101.59225,231.84334,0.25616094,0.052619042,6.3042776,0.030344723,0.032000002
2008-2,88.812599,11.79348,145.9657,246.57176,60.855999,Baja California Sur,0,42.700001,99.342674,218.25,0.31173503,0.051433246,3.5588488,0.01659137,0.050000001
2008-2,0.94614547,13.480392,106.52916,120.9557,9834.249,Campeche,0,44.200001,93.014206,244.44333,0.22796923,0.029708192,0.1138814,0,0.16700001
2008-2,2.341964,29.384575,-4.8474121,26.879128,268.698,Chiapas,0,42.200001,93.877869,181.40334,0.15415011,0.062069157,0.34464162,0.003366463,0.32700002
2008-2,70.528816,57.737881,671.85864,800.12531,7585.2368,Chihuahua,1,43.299999,94.314346,209.71667,0.2087412,0.18921995,2.7206207,0.018980396,0.032000002
2008-2,543.08557,1557.5507,81.288986,2181.9253,777.66901,Ciudad de México,9,42.700001,95.651787,304.40332,0.36212224,0.040022318,2.4715732,0.022296557,0.086999997
2008-2,75.02739,64.555275,22.462341,162.04501,5882.6641,Coahuila,0,41.400002,95.055702,209.74001,0.22465958,0.048538925,1.6336497,0,0.098000005
2008-2,113.10797,10.400353,3.8310051,127.33932,23.452,Colima,0,42.200001,86.077164,192.48,0.24454379,0.049297825,0.95733191,0,0.096999995
2008-2,21.974846,14.776057,83.407379,120.15828,250.709,Durango,0,43.5,87.057198,167.59,0.19522911,0.14273023,0.96958125,0.017226062,0.105
2008-2,141.98198,473.25818,1.1647,616.40485,2669.844,Estado de México,1,45.5,90.85482,229.53334,0.22019725,0.037518577,1.6594806,0,0.096999995
2008-2,26.038153,149.47229,61.419353,236.92979,1653.208,Guanajuato,3,42.900002,87.962593,188.50333,0.14731145,0.051570536,1.3222317,0.005709595,0.116
2008-2,16.908335,44.157223,-2.38304,58.682518,55.244999,Guerrero,3,44.599998,95.738716,190.87666,0.20819677,0.10572292,0.4987042,0.005034425,0.133
2008-2,1.266641,29.035833,8.2917967,38.594273,589.23102,Hidalgo,1,41.599998,92.550842,192.24001,0.1633313,0.044617151,0.97542326,0.007307982,0.185
2008-2,65.218742,254.77438,66.4562,386.44934,3984.3059,Jalisco,10,41.299999,91.550919,219.84666,0.22783558,0.04333934,0.81775221,0.022642027,0.083999999
2008-2,1.5896569,50.338123,-0.15746,51.770321,256.83801,Michoacán,2,40.299999,95.351425,189.62666,0.15269333,0.097511154,1.0331098,0.011091316,0.141
2008-2,2.07511,29.704952,-71.21003,-39.42997,507.86499,Morelos,0,43.599998,93.627518,221.78334,0.22237825,0.11829504,2.0275884,0.033716944,0.109
2008-2,7.0428357,18.742233,32.506653,58.291725,7.6599998,Nayarit,0,40.200001,95.342735,179.58334,0.22599262,0.092828872,0.55034261,0,0.152
2008-2,74.411835,115.54455,276.59772,466.55408,5697.9961,Nuevo León,4,43.799999,93.029739,257.49667,0.20697214,0.040158386,1.8238052,0.001755558,0.067000002
2008-2,8.0751381,73.635834,0.738235,82.449203,380.767,Oaxaca,0,42.900002,93.646561,184.95667,0.15555519,0.065528387,0.51370042,0.025000789,0.21600001
2008-2,43.936924,52.710213,6.8936801,103.54082,2422.075,Puebla,3,41.5,91.955467,206.27667,0.15950097,0.059335194,0.9052555,0,0.19399999
2008-2,103.73404,280.6586,73.954338,458.34698,1081.024,Querétaro,0,43.200001,88.359444,253.34666,0.2313695,0.026459375,1.221072,0.002814827,0.075000003
2008-2,87.287392,27.996471,-1.625787,113.65807,11.662,Quintana Roo,0,44.400002,94.306717,186.76666,0.27650055,0.11619199,2.3461231,0.023875067,0.079999998
2008-2,10.705501,58.911617,-9.0258188,60.591297,1221.155,San Luis Potosí,1,42.099998,89.916389,205.03999,0.17857128,0.034096054,1.0953847,0.029001241,0.17299999
2008-2,4.6194134,22.510038,-2.988075,24.141376,93.746002,Sinaloa,2,41.900002,95.81781,172.71001,0.23217461,0.16170711,0.93502644,0.007905681,0.081999995
2008-2,74.408257,56.720112,622.03168,753.16003,3246.0481,Sonora,1,43.5,90.432518,188.58667,0.24663258,0.090620408,1.2169026,0.00571137,0.07
2008-2,5.1748619,24.280933,-7.9080648,21.547731,3067.874,Tabasco,0,44.400002,88.269341,196.76666,0.24161789,0.063672684,1.5026754,0.012279732,0.134
2008-2,19.50172,72.086311,99.145287,190.73332,6651.3521,Tamaulipas,1,42.200001,105.1002,210.84,0.25691733,0.067439854,1.9003808,0.006805857,0.107
2008-2,-10.477524,15.332411,-2.724303,2.130584,252.42101,Tlaxcala,0,42,93.236168,193.67334,0.21135856,0.09328944,0.46208786,0,0.17200001
2008-2,51.026512,103.8215,-8.5936108,146.25441,1581.964,Veracruz,0,44.099998,94.117874,212.73334,0.1799354,0.054875589,0.73189492,0.012561882,0.153
2008-2,1.571421,42.308372,2.6870699,46.56686,259.034,Yucatán,0,39.900002,89.551109,178.81667,0.17351587,0.027569231,0.9300714,0,0.199
