periodo,desemp,cetes91,inf
01/01/1999,5.9,32.2725,19.02
01/02/1999,5.8,28.7175,18.54
01/03/1999,5.8,23.862,18.26
01/04/1999,5.8,21.045,18.23
01/05/1999,5.7,21.02,18.01
01/06/1999,5.6,21.345,17.39
01/07/1999,5.6,20.782,17.04
01/08/1999,5.5,21.485,16.58
01/09/1999,5.4,21.346,15.83
01/10/1999,5.3,20.295,14.91
01/11/1999,5.2,18.6775,13.92
01/12/1999,5.1,17.646,12.32
01/01/2000,5.1,17.4325,11.02
01/02/2000,5,16.435,10.52
01/03/2000,4.9,14.456,10.11
01/04/2000,4.9,14.37,9.73
01/05/2000,4.9,15.5825,9.48
01/06/2000,4.9,16.614,9.41
01/07/2000,4.9,14.6225,9.12
01/08/2000,4.9,15.708,9.1
01/09/2000,4.9,16.1525,8.85
01/10/2000,4.9,17.0625,8.91
01/11/2000,4.9,18.006,8.87
01/12/2000,4.9,17.4125,8.96
01/01/2001,4.9,18.495,8.11
01/02/2001,4.9,18.07,7.09
01/03/2001,4.9,16.466,7.17
01/04/2001,4.9,15.4025,7.11
01/05/2001,4.8,12.612,6.95
01/06/2001,4.8,10.2725,6.57
01/07/2001,4.8,10.245,5.88
01/08/2001,4.9,8.542,5.93
01/09/2001,4.9,10.8775,6.14
01/10/2001,5,9.675,5.89
01/11/2001,5.1,8.688,5.39
01/12/2001,5.2,7.5325,4.4
01/01/2002,5.3,7.35,4.79
01/02/2002,5.4,8.17,4.79
01/03/2002,5.5,7.305,4.66
01/04/2002,5.5,6.155,4.7
01/05/2002,5.6,6.69,4.68
01/06/2002,5.6,7.485,4.94
01/07/2002,5.6,7.8775,5.51
01/08/2002,5.6,7.072,5.29
01/09/2002,5.6,7.8175,4.95
01/10/2002,5.6,8.23,4.94
01/11/2002,5.6,7.8275,5.39
01/12/2002,5.6,7.2725,5.7
01/01/2003,5.6,8.694,5.16
01/02/2003,5.7,8.855,5.52
01/03/2003,5.7,9.12,5.64
01/04/2003,5.8,8,5.25
01/05/2003,5.8,5.7525,4.7
01/06/2003,5.9,5.3675,4.27
01/07/2003,5.9,5.272,4.13
01/08/2003,6,5.105,4.04
01/09/2003,6,5.2025,4.04
01/10/2003,5.9,5.382,3.96
01/11/2003,5.9,5.23,3.98
01/12/2003,5.9,6.18,3.98
01/01/2004,5.8,5.105,4.2
01/02/2004,5.7,5.6325,4.53
01/03/2004,5.7,6.2075,4.23
01/04/2004,5.6,5.956,4.21
01/05/2004,5.5,7.08,4.29
01/06/2004,5.5,7.2625,4.37
01/07/2004,5.4,7.296,4.49
01/08/2004,5.4,7.5025,4.82
01/09/2004,5.4,7.754,5.06
01/10/2004,5.4,8.105,5.4
01/11/2004,5.4,8.575,5.43
01/12/2004,5.4,8.722,5.19
01/01/2005,5.4,8.74,4.54
01/02/2005,5.4,9.305,4.27
01/03/2005,5.4,9.742,4.39
01/04/2005,5.3,10,4.6
01/05/2005,5.3,9.9225,4.6
01/06/2005,5.2,9.758,4.33
01/07/2005,5.1,9.7375,4.47
01/08/2005,5,9.685,3.95
01/09/2005,4.9,9.144,3.51
01/10/2005,4.8,8.95,3.05
01/11/2005,4.7,8.755,2.91
01/12/2005,4.5,8.198,3.33
01/01/2006,4.4,7.8025,3.94
01/02/2006,4.3,7.5675,3.75
01/03/2006,4.2,7.382,3.41
01/04/2006,4.2,7.2775,3.2
01/05/2006,4.2,7.1175,3
01/06/2006,4.2,7.326,3.18
01/07/2006,4.2,7.175,3.06
01/08/2006,4.2,7.17,3.47
01/09/2006,4.2,7.175,4.09
01/10/2006,4.1,7.2125,4.29
01/11/2006,4,7.16,4.09
01/12/2006,3.9,7.155,4.05
01/01/2007,3.9,7.19,3.98
01/02/2007,3.8,7.19,4.11
01/03/2007,3.7,7.212,4.21
01/04/2007,3.7,7.15,3.99
01/05/2007,3.7,7.412,3.95
01/06/2007,3.7,7.375,3.98
01/07/2007,3.7,7.3425,4.14
01/08/2007,3.7,7.384,4.03
01/09/2007,3.7,7.355,3.79
01/10/2007,3.8,7.43,3.74
01/11/2007,3.8,7.598,3.93
01/12/2007,3.9,7.6,3.76
01/01/2008,3.9,7.576,3.7
01/02/2008,3.9,7.5075,3.72
01/03/2008,4,7.4725,4.25
01/04/2008,4,7.54,4.55
01/05/2008,4.1,7.5925,4.95
01/06/2008,4.2,7.7925,5.26
01/07/2008,4.3,8.208,5.39
01/08/2008,4.5,8.35,5.57
01/09/2008,4.7,8.3175,5.47
01/10/2008,5,8.13,5.78
01/11/2008,5.4,7.955,6.23
01/12/2008,5.8,8.202,6.53
01/01/2009,6.2,7.66,6.28
01/02/2009,6.7,7.3175,6.2
