EDA,P6B1,P6B2
46,7,
48,8,
16,,
12,,
76,,
43,8,
18,,
16,,
13,,
70,,
41,2,20000
68,2,7000
34,7,
63,,
62,7,
41,,
12,,
79,,
47,8,
15,,
34,1,35000
64,,
63,,
34,3,6020
31,,
14,,
47,8,
44,,
49,8,
23,,
86,,
58,,
55,8,
24,,
50,,
19,,
60,,
55,,
36,7,
53,,
31,4,2580
15,,
42,7,
42,8,
14,,
13,,
87,,
50,,
51,8,
77,,
50,8,
40,4,6450
70,,
25,4,7740
18,,
36,4,12900
38,,
13,,
31,4,51600
25,3,9460
12,,
55,7,
33,3,8600
36,7,
64,8,
56,7,
27,1,10000
38,8,
32,,
54,,
59,,
48,2,20000
50,7,
20,,
13,,
28,2,8000
58,8,
50,,
17,,
47,7,
48,,
14,,
23,7,
18,,
25,,
46,4,7800
41,7,
26,,
15,,
29,1,12000
48,7,
26,2,6000
26,3,4300
28,8,
28,,
39,8,
54,8,
51,3,5160
24,3,3870
36,3,8600
18,,
69,,
62,,
43,2,8000
36,2,8000
76,,
36,7,
35,,
64,2,12000
42,7,
44,2,9000
73,,
70,,
63,,
71,,
36,7,
41,7,
49,7,
15,,
15,,
22,7,
16,,
27,7,
29,,
64,,
63,7,
35,3,8600
13,,
62,,
61,,
49,7,
24,7,
20,,
18,,
70,,
65,,
62,7,
36,,
31,7,
37,3,3440
44,3,3440
17,,
13,,
40,7,
42,7,
67,,
92,,
75,,
55,,
65,3,3870
15,,
29,,
29,,
28,2,8000
35,,
13,,
71,,
69,,
52,8,
68,4,2580
38,4,1720
66,2,5000
42,7,
20,,
14,,
58,2,9200
55,,
31,7,
52,2,18000
49,2,7600
23,,
15,,
61,2,26000
62,1,4000
52,4,3870
55,,
30,7,
27,4,2150
85,,
49,1,14000
25,7,
13,,
46,1,30000
73,,
67,,
44,,
52,2,6000
52,,
24,,
21,,
19,,
57,1,5000
40,7,
38,8,
37,,
12,,
74,,
44,7,
23,7,
23,7,
55,7,
54,7,
28,7,
26,7,
18,,
16,,
75,,
46,,
45,3,3870
23,7,
18,3,3010
72,3,3440
73,7,
31,,
38,7,
37,,
83,,
55,,
35,7,
70,,
40,7,
65,1,2000
31,,
81,,
73,,
53,8,
74,7,
75,,
50,7,
37,7,
67,,
67,,
40,8,
66,2,30000
64,,
71,,
58,4,11810
47,,
23,,
22,7,
19,7,
37,3,7740
27,7,
43,1,15000
42,,
17,,
13,,
