eda,p6b1,p6b2
46,7,
49,7,
16, ,
13, ,
76, ,
44,2,6350
18,2,4000
17, ,
14, ,
71, ,
42,2,5000
69, ,
35,3,4730
64, ,
62,4,4500
42, ,
12, ,
80, ,
48,7,
16, ,
47,2,100000
19, ,
34,2,25250
29,2,16000
35,3,6450
31,3,2150
15, ,
48,8,
45, ,
49,7,
24, ,
87, ,
58,8,
56,8,
25, ,
51, ,
19, ,
61, ,
56, ,
37,7,
54,8,
16, ,
12, ,
43,4,16500
42, ,
15, ,
14, ,
78, ,
51,2,9000
47,7,
39, ,
21,7,
41, ,
71, ,
26,4,4800
19, ,
56,3,4300
55, ,
27,7,
32,8,
26,8,
13, ,
56,3,4300
35,3,4300
27,3,4300
64,2,7000
57,2,14000
55,7,
28,8,
28,3,10750
27,8,
38,7,
32, ,
56,7,
46,2,15600
16, ,
13, ,
63,7,
59, ,
20, ,
75, ,
53, ,
49, ,
50,4,2150
20, ,
13, ,
29,8,
59,2,30000
50,2,24000
18, ,
19, ,
28, ,
48,3,8600
48,7,
15, ,
23,3,6450
19, ,
26, ,
46,7,
42,7,
27, ,
16, ,
49,7,
27,7,
27,7,
29,2,20000
28,2,12000
39,8,
56,8,
57,8,
36,8,
32,7,
37, ,
36, ,
40, ,
17, ,
26,3,3870
27,7,
56,7,
27,2,4000
67,4,3000
39,4,14190
36,4,10320
65, ,
45,8,
19,7,
66,4,5160
61, ,
35,1,8000
22, ,
75,7,
52, ,
21,7,
94, ,
31,7,
27, ,
33,7,
32,7,
16, ,
13, ,
24,2,8000
24, ,
37,3,3870
62, ,
48,7,
65, ,
20,3,4730
20, ,
49,7,
43, ,
18, ,
24, ,
32,8,
39,8,
16, ,
39,3,4300
19, ,
12, ,
48,8,
36, ,
17, ,
16, ,
86,7,
75, ,
33, ,
32,7,
49, ,
53, ,
24, ,
22,3,3870
22,4,5160
45, ,
25,3,10320
14,3,8600
30,3,10320
39, ,
43,7,
19,7,
17, ,
14, ,
80, ,
81, ,
37,4,5160
25,7,
29,7,
22, ,
63, ,
34,8,
61, ,
69, ,
51,7,
38,7,
50, ,
49,4,1075
40, ,
57,7,
24,7,
83, ,
56, ,
49,2,10200
27,8,
62, ,
61,7,
38, ,
39,8,
30,8,
37,3,5160
40, ,
45,3,4300
24,1,6000
20,7,
12, ,
58,3,5160
60, ,
23, ,
27,7,
24, ,
44,3,5160
48, ,
22, ,
71, ,
65,3,3440
64, ,
41,3,6450
40, ,
26,4,2580
34,7,
37,7,
34,7,
28,8,
60, ,
90, ,
95, ,
63, ,
91, ,
61,7,
48,7,
47, ,
15, ,
56,7,
52,7,
44,3,5590
38,4,1720
13, ,
30,7,
30,8,
63,7,
35, ,
27,3,2150
46,7,
49,7,
18, ,
12, ,
58,7,
56, ,
34,7,
25, ,
32,1,22000
29,2,12000
64, ,
33,7,
30,7,
31,3,6450
87, ,
30,8,
63, ,
43,3,12900
25,3,2150
25,3,6450
73,4,15000
44,7,
48,7,
18, ,
57,3,12900
59, ,
24,7,
29,2,6000
49,3,8600
24, ,
73, ,
69, ,
61,3,2150
65,4,860
33,3,6450
40,1,25000
29, ,
42,3,6880
42, ,
17, ,
55,7,
49,2,5600
26, ,
19, ,
57,3,4730
48,4,7740
49, ,
17,3,3870
20,4,6450
18, ,
65,7,
49, ,
41,7,
19,7,
68, ,
68, ,
19, ,
14, ,
57,3,12900
30, ,
30,2,11200
61, ,
23, ,
23, ,
67,3,6880
63, ,
37,3,4300
41,7,
31,7,
42, ,
16, ,
57,8,
56, ,
28,7,
25,7,
20, ,
84, ,
59,8,
60,8,
32,7,
48,8,
48, ,
21,7,
19, ,
18, ,
63,7,
30,7,
19,8,
32,8,
74,8,
63,7,
31,7,
28,7,
72, ,
70, ,
40,4,9000
41,7,
39,7,
23, ,
87, ,
49,7,
60,4,860
17, ,
37,8,
70,8,
62, ,
30,7,
29,7,
60, ,
60,7,
30,7,
27,7,
64, ,
64, ,
73, ,
51,7,
20,7,
16,7,
48,7,
17, ,
85, ,
85, ,
61,4,1505
19, ,
17, ,
50,2,5200
41,3,6450
19,2,10000
26, ,
42,7,
61,4,645
52,7,
55,4,10750
20, ,
15, ,
30, ,
25, ,
47,7,
40,2,6000
33,8,
31, ,
68, ,
48,3,450
39, ,
13, ,
50,4,10750
49,4,10750
33,4,6450
26,4,6450
75, ,
68,4,12000
65, ,
42,2,6000
42, ,
18, ,
66, ,
41,7,
36,7,
42,2,6000
15, ,
57,7,
33,2,7800
40,2,8000
55, ,
58, ,
35,2,9600
27,7,
33,2,7900
33,4,6000
33,4,12000
17, ,
16, ,
23,3,7740
37, ,
40, ,
22, ,
22, ,
54,2,8000
19, ,
53,4,5160
26,3,4300
66,1,8000
84, ,
59,7,
56, ,
35,7,
28, ,
32,2,10000
30,7,
56, ,
45,8,
52,7,
26,8,
33,7,
29,8,
62, ,
61, ,
38,7,
34, ,
45,1,10000
41, ,
16, ,
68,8,
45,7,
40,7,
12, ,
36,7,
38, ,
17, ,
16, ,
13, ,
40,7,
41, ,
21,7,
13, ,
12, ,
58,7,
47,7,
24,3,5160
25,7,
25,7,
30,4,15480
36,3,5590
20, ,
48,4,1376
43,4,5160
49, ,
19, ,
15, ,
64,7,
54, ,
36, ,
30,7,
81, ,
56, ,
51, ,
59,3,3870
59, ,
59, ,
60, ,
29,7,
37,2,9000
36,7,
37,2,7000
12, ,
69, ,
40,7,
49,2,5600
46, ,
27,3,4730
15, ,
12, ,
20,3,4945
36, ,
54,7,
68, ,
44,7,
17, ,
45,4,2580
62,5,4500
43,7,
17, ,
13, ,
39,2,10000
49,8,
97, ,
48,3,4400
43,3,4300
20, ,
44,7,
41, ,
22, ,
15, ,
32,3,8600
29,3,2150
67, ,
93, ,
69, ,
13, ,
41,3,6450
51, ,
21,1,300
44,2,20000
40,2,18000
36,4,12000
41, ,
19,3,5160
39,3,5160
39, ,
12, ,
68,7,
71,7,
33,3,8600
82, ,
42,7,
23,2,9800
19,2,2400
14, ,
40,8,
70, ,
28,8,
34,8,
29,7,
21,7,
27,3,4300
58,7,
57,7,
60, ,
59,4,860
58, ,
55, ,
28,4,7740
60,4,6000
51,7,
49, ,
19, ,
38,3,8600
12, ,
65, ,
65, ,
46,7,
66,7,
60, ,
22, ,
42,3,8600
46, ,
18, ,
16, ,
39,2,7600
30, ,
51,3,3440
54,7,
18, ,
27,7,
12, ,
43,3,8600
25,3,10750
21,7,
71, ,
67,7,
68, ,
55,3,8600
58,4,1290
30,3,6450
86, ,
49,4,6450
32,3,4300
24, ,
44,2,3000
80, ,
82, ,
48,8,
24,8,
69, ,
61, ,
38,8,
44,8,
30,8,
31, ,
86, ,
53, ,
53,8,
19, ,
14, ,
65, ,
59,8,
59,8,
24, ,
71, ,
24,7,
40,3,6450
34, ,
14, ,
34,7,
34, ,
67,4,5160
48, ,
49,7,
15, ,
55, ,
57,4,1720
65, ,
57, ,
47,4,12900
47,2,7400
17, ,
72, ,
75, ,
64,3,1720
44,4,8600
39, ,
20, ,
17, ,
24,4,6020
19, ,
66,7,
73, ,
63, ,
62, ,
45,3,8600
39, ,
21, ,
19,7,
14, ,
60, ,
57, ,
30,2,6000
59,7,
55,4,6020
37,7,
32,7,
47, ,
48, ,
21,7,
19, ,
65, ,
26,7,
53, ,
50,7,
24,7,
22, ,
55,8,
29,2,18000
36,2,16000
30,8,
72, ,
87, ,
88, ,
42,7,
43,3,4300
21,7,
19,2,3600
78, ,
17, ,
74, ,
42,7,
13, ,
57,8,
24, ,
20, ,
37,8,
16, ,
54,8,
52, ,
17, ,
12, ,
63,7,
60,8,
50, ,
35,4,3225
49, ,
47, ,
31,3,5160
61, ,
27,2,7500
24, ,
72, ,
79, ,
40, ,
57,7,
60,3,8385
26,7,
22, ,
54,7,
48, ,
24, ,
61,7,
59, ,
15, ,
12, ,
58,7,
55,8,
31,7,
32, ,
12, ,
12, ,
37,8,
18, ,
13, ,
12, ,
53,3,6880
50,4,2580
31,7,
26,7,
16, ,
58,4,2064
25,3,4300
15, ,
89, ,
50,7,
29, ,
13, ,
47, ,
24,3,5160
23,3,5160
68, ,
45,4,5160
44, ,
22, ,
74, ,
75, ,
73, ,
67,7,
36,2,2800
19, ,
15, ,
14, ,
68,3,4300
74, ,
20,3,5160
24,3,5160
39,2,7000
32, ,
31,2,6000
38,3,10750
50,3,8600
47,3,8600
23,3,7740
22,2,3600
63, ,
19,1,2600
22,2,4000
35,2,5000
52,7,
47,8,
28,7,
19, ,
25,4,1806
41, ,
45,4,3870
12, ,
27, ,
68,7,
65, ,
52,7,
48,3,6020
24, ,
15, ,
73, ,
57,7,
31, ,
33, ,
70, ,
31,7,
85, ,
17, ,
58,7,
60, ,
33, ,
84,7,
71, ,
48,8,
40, ,
90, ,
57, ,
60, ,
20, ,
67,7,
33, ,
30, ,
45,4,2580
13, ,
59,8,
20, ,
54,7,
34, ,
14, ,
68, ,
32,8,
27, ,
75, ,
46,7,
50,1,5000
45,1,5000
14, ,
25,7,
23,2,12000
38,2,50000
33, ,
28,8,
31,7,
70,3,3870
30,7,
35, ,
35, ,
14, ,
33,3,7740
73, ,
49,7,
23, ,
18, ,
12, ,
57,7,
55, ,
27,8,
22, ,
31,3,8600
31,3,8600
12, ,
89, ,
67, ,
32, ,
58,7,
72,7,
31, ,
57,1,1000
38,7,
50,1,15000
43,3,6450
33,4,5160
40,3,6450
45,4,3655
29, ,
38,4,3870
17, ,
13, ,
35,4,5375
46, ,
20, ,
