periodo,FBCF,Consumo,PIB
1980/01,5529511.902,1459725.745,7474213.956
1980/02,5650173.636,1485201.295,7522973.195
1980/03,5837120.587,1521478.879,7685376.492
1980/04,5897448.025,1558789.232,7907934.726
1981/01,6422571.993,1570410.848,8084516.695
1981/02,6757471.517,1595022.413,8293998.072
1981/03,6724486.305,1633321.918,8337355.645
1981/04,6658190.325,1643913.84,8486725.815
1982/01,6431277.577,1641061.061,8323204.616
1982/02,5933030.499,1619215.596,8335887.692
1982/03,5436648.526,1569852.729,8275935.609
1982/04,4289069.095,1553796.974,8094342.662
1983/01,3978920.636,1528972.119,8034495.027
1983/02,3899008.749,1526049.951,7872944.256
1983/03,3909322.541,1526164.597,7938300.931
1983/04,4166897.845,1534061.525,8029626.79
1984/01,3950055.221,1562349.379,8251253.645
1984/02,4059701.773,1562494.497,8129804.157
1984/03,4543619.079,1586346.08,8326671.815
1984/04,4460907.813,1574172.148,8253294.647
1985/01,4622899.78,1613590.581,8404256.66
1985/02,4638566.253,1623446.558,8396975.114
1985/03,4644546.852,1621921.551,8449490.178
1985/04,4508365.205,1614792.619,8426550.103
1986/01,4453786.73,1624460.563,8264066.116
1986/02,4190882.022,1593557.447,8233198.195
1986/03,3851466.91,1571665.629,8076914.9
1986/04,3784435.095,1545379.972,8054863.062
1987/01,3694062.795,1543089.362,8102988.939
1987/02,4165700.917,1586672.746,8324705.442
1987/03,4218755.404,1602060.441,8333617.942
1987/04,4260855.971,1611057.15,8434315.262
1988/01,4264287.109,1587993.24,8377340.937
1988/02,4287195.233,1585794.543,8350462.005
1988/03,4387477.065,1597415.725,8360768.353
1988/04,4341260.888,1654938.019,8527334.135
1989/01,4522003.879,1697498.491,8687108.909
1989/02,4601420.989,1719229.418,8690427.866
1989/03,4539852.448,1748867.597,8852428.216
1989/04,4601377,1729117.571,8774370.012
1990/01,4821139.935,1771361.627,8965146.302
1990/02,5075058.489,1819533.235,9159672.257
1990/03,5255085.529,1871423.02,9284622.695
1990/04,5515203.303,1874977.84,9402625.967
1991/01,5532712.619,1855663.116,9428540.382
1991/02,5673618.308,1901945.721,9572818.339
1991/03,5617721.5,1943825.938,9590618.351
1991/04,6102273.163,1979906.514,9763841.167
1992/01,6123909.311,1911280.263,9762987.674
1992/02,6357703.111,2014282.432,9923083.704
1992/03,6526160.318,2044538.018,10015227.28
1992/04,6418537.315,2072978.682,10023570.71
1993/01,6243934.018,2066932.612,10066121.86
1993/02,6320125.171,2086031.058,10092487.93
1993/03,6291763.782,2138314.217,10200852.22
1993/04,6395960.083,2284522.311,10329632.31
1994/01,6442283.269,2420169.531,10436716.63
1994/02,6628433.902,2489512.525,10655450.27
1994/03,6735138.354,2508145.547,10742186.42
1994/04,6778875.501,2416652.489,10861848.51
1995/01,6328352.175,1676331.779,10238043.32
1995/02,6197712.02,1476960.756,9736364.21
1995/03,6254196.449,1503244.744,9926096.96
1995/04,6254165.483,1639320.369,10110488.97
1996/01,6385328.534,1715424.754,10367229.46
1996/02,6420527.233,1814085.847,10518854.09
1996/03,6556489.796,1940587.296,10703541.26
1996/04,6734446.242,2058016.551,11018639.93
1997/01,6799085.262,2002630.21,11037680.74
1997/02,6971582.624,2144511.247,11293348.09
1997/03,7076598.649,2241555.968,11512936.17
1997/04,7260915.878,2289932.096,11790790.53
1998/01,7373848.044,2334822.562,11903392.13
1998/02,7479827.43,2391249.725,11990433.81
1998/03,7526600.76,2430535.766,12045238.13
1998/04,7541544.737,2436122.51,12063955.33
1999/01,7720793.037,2515136.722,12195322.24
1999/02,7766572.086,2516063.72,12265454.45
1999/03,7908337.811,2520686.775,12364920.6
1999/04,7970978.126,2569939.808,12493022.47
2000/01,8144728.2,2655936.598,12722924.59
2000/02,8329306.138,2693806.453,12927620.25
2000/03,8476174.566,2682529.108,13028513.1
2000/04,8570359.136,2618738.536,12942040.77
2001/01,8578808.558,2510897.647,12957763.08
2001/02,8586042.76,2428810.785,12879137.31
2001/03,8609549.187,2484861.746,12882651.4
2001/04,8674657.804,2453674.52,12821843.85
2002/01,8700094.016,2386886.193,12742924.66
2002/02,8783239.642,2406219.147,12853100.83
2002/03,8791485.08,2436271.209,12940661.04
2002/04,8755348.712,2433240.484,12980917.97
2003/01,8899394.304,2447920.132,13015289.95
2003/02,8890225.739,2447569.308,13041188.38
2003/03,8947281.792,2428613.325,13040282.67
2003/04,9078921.956,2438508.055,13176382.76
2004/01,9131846.549,2561891.383,13343988.17
2004/02,9306003.505,2615550.071,13570141.95
2004/03,9439078.906,2597025.112,13551818.37
2004/04,9554047.029,2669271.551,13718241.91
2005/01,9574157.05,2723565.667,13741612.99
2005/02,9575241.562,2722626.196,13782648.62
2005/03,9693941.979,2768683.657,13909178.65
2005/04,9713583.703,2864922.967,14129444.56
2006/01,9936565.022,2933345.23,14378259.9
2006/02,10045952.2,3019759.312,14520155.2
2006/03,10044578.23,3072907.793,14564962.75
2006/04,10092712.23,3087065.115,14596400.26
2007/01,10237301.43,3074083.047,14699980.57
2007/02,10332805.74,3138256.058,14812820.95
2007/03,10282693,3238955.625,14905521.63
2007/04,10272800.04,3369183.577,14965263.14
2008/01,10403598.66,3414753.107,14915886.46
2008/02,10496823.43,3462936.882,15048665.69
2008/03,10407193.38,3456739.51,15092670.04
2008/04,10016023.22,3340337.886,14852544.92
2009/01,9607525.723,3002074.097,14096777.9
2009/02,9501066.93,3004633.834,13881028.27
2009/03,9750266.673,3035462.123,14331726.67
2009/04,9959008.182,3032198.718,14580211.04
2010/01,9939762.26,3136563.91,14738249.1
2010/02,10020630.32,3150069.58,14890721.75
2010/03,10054460.41,3135377.927,15026245.67
2010/04,10203152.43,3214548.753,15151487.87
2011/01,10223062,3227483.702,15274550.53
2011/02,10364559.45,3378963.74,15341615.86
2011/03,10493129.85,3462376.374,15637039.62
2011/04,10493047.54,3552393.778,15748743.51
