periodo,i,i_trim,inf,r
1980/01,19.81615385,4.954038463,9.507201581,-4.553163119
1980/02,22.18615385,5.546538463,5.458585122,0.08795334
1980/03,21.91384615,5.478461538,6.087377473,-0.608915936
1980/04,26.12230769,6.530576923,5.984540161,0.546036762
1981/01,28.80846154,7.202115385,8.019500682,-0.817385297
1981/02,28.30307692,7.07576923,5.252490502,1.823278728
1981/03,32.63384615,8.158461538,5.790655905,2.367805633
1981/04,33.52928571,8.382321428,6.990405175,1.391916253
1982/01,35.16666667,8.791666668,13.07788162,-4.28621495
1982/02,43.24,10.81,16.70881815,-5.898818151
1982/03,53.00928571,13.25232143,23.19596138,-9.943639954
1982/04,51.38846154,12.84711539,22.30219582,-9.45508044
1983/01,62.26538462,15.56634616,22.48643523,-6.920089079
1983/02,63.01615385,15.75403846,15.1440714,0.609967065
1983/03,58.43461538,14.60865385,12.37276563,2.235888215
1983/04,54.22076923,13.55519231,14.06580469,-0.510612387
1984/01,49.80846154,12.45211539,16.75134825,-4.299232869
1984/02,49.56307692,12.39076923,11.68616207,0.704607159
1984/03,50.60923077,12.65230769,9.377900244,3.274407449
1984/04,48.37153846,12.09288462,11.59219013,0.500694481
1985/01,51.58769231,12.89692308,16.21586809,-3.318945013
1985/02,61.20230769,15.30057692,8.161681461,7.138895462
1985/03,71.62230769,17.90557692,12.32019849,5.585378432
1985/04,69.89384615,17.47346154,15.97993894,1.493522595
1986/01,76.91769231,19.22942308,18.96371864,0.265704435
1986/02,82.45076923,20.61269231,18.19743164,2.415260671
1986/03,90.5,22.625,20.16070432,2.464295678
1986/04,106.07,26.5175,21.77327894,4.744221062
1987/01,103.9938462,25.99846155,23.55615634,2.442305211
1987/02,98.84230769,24.71057692,25.40832829,-0.697751366
1987/03,96.30538462,24.07634616,24.63773053,-0.561384371
1987/04,113.7042857,28.42607143,34.19649358,-5.770422159
1988/01,125.7738462,31.44346155,31.49856457,-0.055103016
1988/02,43.51538462,10.87884616,7.215805133,3.663041022
1988/03,32.45,8.1125,3.191070357,4.921429643
1988/04,40.06,10.015,4.241740398,5.773259602
1989/01,49.55769231,12.38942308,4.96389879,7.425524287
1989/02,53.148,13.287,4.142075637,9.144924363
1989/03,36.148,9.037,2.937656613,6.099343387
1989/04,39.83307692,9.95826923,6.376190139,3.582079091
1990/01,42.99166667,10.74791667,9.089749964,1.658166704
1990/02,38.49230769,9.623076923,5.568603703,4.05447322
1990/03,31.22153846,7.805384615,5.03483403,2.770550585
1990/04,27.70692308,6.92673077,7.41277205,-0.48604128
1991/01,23.30846154,5.827115385,5.827072242,4.3143E-05
1991/02,20.04461538,5.011153845,3.106009023,1.905144822
1991/03,18.29461538,4.573653845,2.597812551,1.975841294
1991/04,17.70615385,4.426538463,6.115279356,-1.688740894
1992/01,14.35846154,3.589615385,4.072322186,-0.482706801
1992/02,13.15923077,3.289807693,2.244030254,1.045777438
1992/03,17.58461538,4.396153845,2.130378219,2.265775626
1992/04,18.43071429,4.607678573,3.002974076,1.604704497
1993/01,18.345,4.58625,2.676540214,1.909709786
1993/02,16.37230769,4.093076923,1.718924149,2.374152774
1993/03,14.33,3.5825,1.76652572,1.81597428
1993/04,12.89461538,3.223653845,1.620833944,1.602819901
1994/01,10.28923077,2.572307693,1.814410675,0.757897017
1994/02,16.645,4.16125,1.480534116,2.680715884
1994/03,15.33230769,3.833076923,1.629335058,2.203741864
1994/04,15.92769231,3.981923078,1.948740769,2.033182308
1995/01,52.26846154,13.06711539,14.53797911,-1.470863721
1995/02,57.02769231,14.25692308,16.05083367,-1.793910597
1995/03,36.58615385,9.146538463,5.876824222,3.269714241
1995/04,48.29153846,12.07288462,7.981172187,4.091712428
1996/01,41.67538462,10.41884616,8.346557051,2.072289104
1996/02,32.49923077,8.124807693,6.422487832,1.702319861
1996/03,29.50615385,7.376538463,4.412731922,2.96380654
1996/04,27.70384615,6.925961538,6.073101669,0.852859868
1997/01,23.08538462,5.771346155,5.593149281,0.178196874
