trimestre,pib_nom
1993/03,1502180.442
1993/06,1553803.133
1993/09,1553768.14
1993/12,1630621.43
1994/03,1669869.475
1994/06,1779779.966
1994/09,1779633.335
1994/12,1896407.065
1995/03,2008487.224
1995/06,2246584.279
1995/09,2357628.061
1995/12,2633134.247
1996/03,2854790.859
1996/06,3026075.769
1996/09,3137331.92
1996/12,3474473.207
1997/03,3593692.615
1997/06,3902792.751
1997/09,4000910.968
1997/12,4352700.331
1998/03,4513431.516
1998/06,4726991.281
1998/09,4869907.662
1998/12,5130163.357
1999/03,5362992.006
1999/06,5652894.866
1999/09,5846010.151
1999/12,6091968.454
2000/03,6412026.358
2000/06,6660435.442
2000/09,6803749.996
2000/12,6898520.259
2001/03,6972344.251
2001/06,7097269.308
2001/09,7098960.83
2001/12,7108934.699
2002/03,6989364.874
2002/06,7583211.74
2002/09,7550711.126
2002/12,7698549.04
2003/03,7745442.736
2003/06,7880575.135
2003/09,7771536.612
2003/12,8077683.728
2004/03,8346933.397
2004/06,8882220.451
2004/09,8844033.152
2004/12,9240282.736
2005/03,9061147.32
2005/06,9643592.416
2005/09,9574366.665
2005/12,9971486.052
2006/03,10100429.42
2006/06,10757668.33
2006/09,10703482.03
2006/12,10962177.93
2007/03,10923991.47
2007/06,11486480.76
2007/09,11518669.88
2007/12,12087159.93
2008/03,11782114.99
2008/06,12721060.43
2008/09,12484778.68
2008/12,12427427.03
2009/03,11655060.38
2009/06,11942368.77
2009/09,12197785.49
2009/12,12855836.74
2010/03,12783164.36
2010/06,13282274.43
2010/09,13346021.41
2010/12,14054048.49
2011/03,13909667.82
2011/06,14375968.63
2011/09,14641737.36
2011/12,15734932.08
2012/03,15412502.61
2012/06,15710712.22
2012/09,15770761.72
2012/12,16377041.79
2013/03,15769747.46
2013/06,16200152.88
2013/09,16203436.85
2013/12,16935411.12
2014/03,16741180.82
2014/06,17415983.01
2014/09,17453268.89
2014/12,18284933.43
2015/03,17766389.49
2015/06,18469820.77
2015/09,18658673.26
2015/12,19310953.54
2016/03,18977987.36
2016/06,19970080.04
2016/09,20154642.17
2016/12,21369694.11
2017/03,21297775.61
2017/06,21814513.33
2017/09,21704643.04
2017/12,22830643.21
2018/03,22713205.85
2018/06,23645843.6
2018/09,23307952.1
2018/12,24299026.52
2019/03,23971495.38
2019/06,24323880.78
2019/09,23962589.24
2019/12,24698562.62
