fecha,priv_no_financ_total-residentes,priv_corto_pl_or-residentes,priv_largo_pl_or-residentes,priv_corto_pl_rem-residentes,priv_largo_pl_rem-residentes,priv_tasa_fija-residentes,priv_tasa_var-residentes,priv_tasa_var_inf-residentes,priv_tasa_var_otro-residentes,priv_tasa_no_id-residentes,priv_aaa-residentes,priv_aa-residentes,priv_bbb_mayor-residentes,priv_bbb_menor-residentes,priv_calif_no_id-residentes,priv_local-residentes,priv_extranj-residentes,priv_hipot-residentes,priv_no_financ_total-no_residentes,priv_corto_pl_or-no_residentes,priv_largo_pl_or-no_residentes,priv_corto_pl_rem-no_residentes,priv_largo_pl_rem-no_residentes,priv_tasa_fija-no_residentes,priv_tasa_var-no_residentes,priv_tasa_var_inf-no_residentes,priv_tasa_var_otro-no_residentes,priv_tasa_no_id-no_residentes,priv_aaa-no_residentes,priv_aa-no_residentes,priv_bbb_mayor-no_residentes,priv_bbb_menor-no_residentes,priv_calif_no_id-no_residentes,priv_local-no_residentes,priv_extranj-no_residentes,priv_hipot-no_residentes
01/06/2009,211.2,21.7,189.5,35.1,176.1,54,152.6,32.7,119.8,4.6,82.8,57.6,39,28.4,3.5,211.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2009,227.5,25.7,201.8,38.1,189.3,57.9,165.2,32.8,132.4,4.4,97.1,56.3,40.9,29.7,3.5,227.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2009,229.8,28.6,201.3,40.8,189.1,57.5,167.5,32.9,134.6,4.9,98.4,54.4,42.1,31.5,3.5,229.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2009,230,20.2,209.8,34.8,195.2,49,175.8,33,142.7,5.2,89.8,59.4,45.5,31.9,3.5,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2009,236.1,20.3,215.8,38.9,197.3,49.4,181.3,34.2,147.1,5.5,96.5,59.5,41.9,32.2,6,236.1,0,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/11/2009,239.5,17.3,222.2,39.7,199.8,46.5,187.4,34.5,152.9,5.7,99.6,56.2,44.9,32.8,6,239.5,0,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/12/2009,243.6,16.8,226.9,42.9,200.7,46.5,192.4,34.7,157.7,4.8,103.7,61.2,44.7,27.8,6.3,243.6,0,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/01/2010,245.8,18.9,226.9,45.2,200.6,48.6,192.4,34.9,157.5,4.8,105.9,61.2,44.5,27.8,6.3,245.8,0,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/02/2010,242.3,17,225.3,41.2,201.1,47.7,189.8,35.2,154.5,4.8,103.2,61.3,43.5,27.9,6.3,242.3,0,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/03/2010,251.7,12.4,239.3,39.5,212.2,50.6,196.7,38.7,158,4.4,112.2,61.5,34.4,36.8,6.7,251.7,0,0,0.7,0,0.7,0.7,0,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/04/2010,250.5,14.9,235.7,38.4,212.1,51.1,195.5,38.8,156.6,4,109.7,61.5,35.8,36.8,6.7,250.5,0,0,0.7,0,0.7,0.7,0,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/05/2010,251.7,14.1,237.6,39.1,212.7,50.2,197.5,39.3,158.2,4,108.8,62.4,35.1,38.8,6.7,251.7,0,0,0.7,0,0.7,0.7,0,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/06/2010,250,14.4,235.7,34.2,215.8,53,193.1,39.5,153.6,4,118.1,56.5,34.2,34.5,6.7,250,0,0,0.7,0,0.7,0.7,0,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/07/2010,256.6,12.9,243.8,36.1,220.5,51.7,192.5,39.5,153,12.4,116.3,56.5,32.8,44.4,6.7,256.6,0,0,0.7,0,0.7,0.7,0,0,0.7,0,0.7,0,0,0.7,0,0,0,0.7,0,0
01/08/2010,242.6,9.5,233.1,32.6,210.1,51,188.1,39.6,148.5,3.5,121,51.4,30.3,35.7,4.2,242.6,0,0,2,0,2,0.7,1.3,0,2,0,2,0,0,2,0,0,0,2,0,0
01/09/2010,251.3,13.1,238.2,39.7,211.6,60.3,187.5,39.8,147.7,3.5,123.4,52.7,35.3,35.7,4.2,244.6,6.7,0,2,0,2,0.7,1.3,0,2,0,2,0,0,2,0,0,0,2,0,0
