Fecha ,public_total,public_corto_pl_,public_largo_pl_,public_local,public_extranj
jun-09,"2,676.50",474.8,"2,201.70","2,676.50",0
jul-09,"2,725.60",489.6,"2,236.00","2,725.60",0
ago-09,"2,748.10",508.9,"2,239.10","2,748.10",0
sep-09,"2,790.00",517.7,"2,272.20","2,790.00",0
oct-09,"2,795.10",532.1,"2,263.00","2,795.10",0
nov-09,"2,824.90",530.4,"2,294.50","2,824.90",0
dic-09,"2,747.10",519,"2,228.20","2,747.10",0
ene-10,"2,759.70",511.8,"2,247.80","2,759.70",0
feb-10,"2,808.10",514.6,"2,293.50","2,808.10",0
mar-10,"2,884.00",523.7,"2,360.30","2,884.00",0
abr-10,"2,916.70",538.8,"2,377.90","2,916.70",0
may-10,"2,928.90",529.4,"2,399.50","2,928.90",0
jun-10,"2,955.70",546,"2,409.70","2,955.70",0
jul-10,"2,981.40",512.6,"2,468.90","2,981.40",0
ago-10,"2,939.20",502,"2,437.20","2,939.20",0
sep-10,"2,991.80",508.6,"2,483.20","2,991.80",0
oct-10,"2,968.40",472,"2,496.40","2,968.40",0
nov-10,"3,012.40",462.9,"2,549.60","3,012.40",0
dic-10,"3,051.60",565.1,"2,486.50","3,051.60",0
ene-11,"3,076.20",571,"2,505.20","3,076.20",0
feb-11,"3,118.80",543.8,"2,575.00","3,118.80",0
mar-11,"3,184.30",544.9,"2,639.40","3,184.30",0
abr-11,"3,242.50",548.4,"2,694.20","3,242.50",0
may-11,"3,318.00",570.3,"2,747.70","3,318.00",0
jun-11,"3,420.50",643.7,"2,776.80","3,420.50",0
jul-11,"3,479.50",641.8,"2,837.60","3,479.50",0
ago-11,"3,551.50",650.6,"2,900.90","3,551.50",0
sep-11,"3,629.50",641.9,"2,987.60","3,629.50",0
oct-11,"3,716.00",673.3,"3,042.70","3,716.00",0
nov-11,"3,787.00",681.8,"3,105.20","3,787.00",0
dic-11,"3,760.80",705.6,"3,055.10","3,760.80",0
ene-12,"3,830.80",717.7,"3,113.10","3,830.80",0
feb-12,"3,900.50",721.4,"3,179.10","3,900.50",0
mar-12,"3,985.50",735.4,"3,250.10","3,985.50",0
abr-12,"4,056.70",749.3,"3,307.40","4,056.70",0
may-12,"4,129.50",753.1,"3,376.40","4,129.50",0
jun-12,"4,136.60",845.9,"3,290.70","4,136.60",0
jul-12,"4,221.70",857.6,"3,364.10","4,221.70",0
ago-12,"4,272.90",857.8,"3,415.10","4,272.90",0
sep-12,"4,351.10",849.5,"3,501.70","4,351.10",0
oct-12,"4,377.40",831.1,"3,546.20","4,377.40",0
nov-12,"4,467.50",837,"3,630.60","4,467.50",0
dic-12,"4,371.30",822.6,"3,548.70","4,371.30",0
ene-13,"4,466.70",843.5,"3,623.20","4,466.70",0
feb-13,"4,537.70",825.2,"3,712.50","4,537.70",0
mar-13,"4,606.10",841.8,"3,764.30","4,606.10",0
abr-13,"4,683.00",844.4,"3,838.60","4,683.00",0
may-13,"4,752.40",841.2,"3,911.30","4,752.40",0
jun-13,"4,759.90",860.3,"3,899.60","4,759.90",0
jul-13,"4,753.10",846.5,"3,906.50","4,753.10",0
ago-13,"4,846.40",835.9,"4,010.40","4,846.40",0
sep-13,"4,878.10",835,"4,043.10","4,878.10",0
oct-13,"4,934.30",811,"4,123.30","4,934.30",0
nov-13,"5,001.30",821.7,"4,179.60","5,001.30",0
dic-13,"5,050.90",964,"4,086.80","5,050.90",0
ene-14,"5,108.90",944.4,"4,164.50","5,108.90",0
feb-14,"5,193.60",967.5,"4,226.10","5,193.60",0
mar-14,"5,269.50",955.9,"4,313.70","5,269.50",0
abr-14,"5,327.10",932.2,"4,394.90","5,327.10",0
may-14,"5,370.80",946.6,"4,424.10","5,370.80",0
jun-14,"5,410.70",959.8,"4,450.90","5,410.70",0
jul-14,"5,486.70",978.6,"4,508.10","5,486.70",0
ago-14,"5,485.30",914.7,"4,570.70","5,485.30",0
sep-14,"5,547.10",932.3,"4,614.70","5,547.10",0
oct-14,"5,633.70",964.2,"4,669.50","5,633.70",0
nov-14,"5,769.40","1,030.90","4,738.60","5,769.40",0
dic-14,"5,673.50","1,020.70","4,652.80","5,673.50",0
ene-15,"5,708.70","1,016.10","4,692.60","5,708.70",0
feb-15,"5,777.30","1,010.20","4,767.00","5,777.30",0
mar-15,"5,873.30","1,039.50","4,833.80","5,873.30",0
abr-15,"5,903.60","1,038.80","4,864.80","5,903.60",0
may-15,"5,964.70","1,054.60","4,910.10","5,964.70",0
jun-15,"5,943.30","1,037.50","4,905.80","5,943.30",0
jul-15,"5,975.40","1,027.60","4,947.80","5,975.40",0
ago-15,"6,016.10","1,045.00","4,971.10","6,016.10",0
sep-15,"6,025.00",993.1,"5,031.90","6,025.00",0
oct-15,"5,977.90",902.5,"5,075.40","5,977.90",0
nov-15,"5,990.70",855.3,"5,135.40","5,990.70",0
dic-15,"6,035.80",873,"5,162.90","6,035.80",0
ene-16,"6,018.50",834.2,"5,184.30","6,018.50",0
feb-16,"6,076.00",824.4,"5,251.60","6,076.00",0
mar-16,"6,014.50",722.4,"5,292.10","6,014.50",0
abr-16,"6,012.70",687.4,"5,325.30","6,012.70",0
may-16,"5,942.00",683.5,"5,258.50","5,942.00",0
jun-16,"5,780.10",743.5,"5,036.60","5,780.10",0
jul-16,"5,838.30",776,"5,062.30","5,838.30",0
ago-16,"5,961.70",786.3,"5,175.40","5,961.70",0
sep-16,"5,981.90",776.4,"5,205.40","5,981.90",0
oct-16,"5,935.40",742.2,"5,193.20","5,935.40",0
nov-16,"6,031.20",759.2,"5,272.10","6,031.20",0
dic-16,"6,003.10",775.7,"5,227.40","6,003.10",0
ene-17,"6,095.90",789.5,"5,306.40","6,095.90",0
feb-17,"6,139.90",794.6,"5,345.30","6,139.90",0
mar-17,"6,243.60",809.7,"5,433.90","6,243.60",0
abr-17,"6,355.90",874.5,"5,481.40","6,355.90",0
may-17,"6,358.70",827.6,"5,531.10","6,358.70",0
jun-17,"6,397.40",898.4,"5,499.00","6,397.40",0
jul-17,"6,436.70",900.7,"5,536.00","6,436.70",0
ago-17,"6,523.30",918.6,"5,604.80","6,523.30",0
sep-17,"6,584.10",908.3,"5,675.80","6,584.10",0
oct-17,"6,592.20",922.9,"5,669.40","6,592.20",0
nov-17,"6,616.00",906.2,"5,709.70","6,616.00",0
dic-17,"6,489.90",903.4,"5,586.50","6,489.90",0
ene-18,"6,536.30",907,"5,629.30","6,536.30",0
feb-18,"6,571.40",897.9,"5,673.50","6,571.40",0
mar-18,"6,636.40",865.9,"5,770.50","6,636.40",0
abr-18,"6,683.80",839.9,"5,843.90","6,683.80",0
may-18,"6,794.20",872.7,"5,921.50","6,794.20",0
jun-18,"6,696.30",874,"5,822.30","6,696.30",0
jul-18,"6,781.30","1,000.10","5,781.30","6,781.30",0
