Fecha ,total_public,cetes,bondes,udibonos,bonos,bondes_d
ene-09,"2,462,341,231.00","397,524,409.00","44,524,710.00","365,687,855.00","1,206,193,140.00","448,411,117.00"
feb-09,"2,443,390,188.00","398,034,887.00","44,253,190.00","362,178,333.00","1,179,496,880.00","459,426,898.00"
mar-09,"2,566,186,234.00","417,886,929.00","44,646,760.00","384,597,731.00","1,248,405,340.00","470,649,474.00"
abr-09,"2,648,337,983.00","445,208,722.00","32,429,430.00","402,295,854.00","1,294,659,530.00","473,744,447.00"
may-09,"2,707,073,120.00","472,708,964.00","32,611,250.00","415,433,693.00","1,305,699,740.00","480,619,473.00"
jun-09,"2,677,653,570.00","469,072,157.00","32,298,270.00","414,584,603.00","1,277,494,830.00","484,203,710.00"
jul-09,"2,742,438,031.00","483,219,229.00","32,082,960.00","430,020,130.00","1,305,414,230.00","491,701,482.00"
ago-09,"2,773,703,161.00","502,558,937.00","20,793,700.00","444,175,938.00","1,322,799,490.00","483,375,096.00"
sep-09,"2,838,072,324.00","511,178,927.00","20,877,700.00","458,072,819.00","1,359,458,240.00","488,484,638.00"
oct-09,"2,858,714,327.00","525,558,519.00","20,965,880.00","448,704,591.00","1,391,753,070.00","471,732,267.00"
nov-09,"2,904,863,013.00","524,123,170.00","21,069,910.00","458,577,798.00","1,424,772,420.00","476,319,715.00"
dic-09,"2,767,946,654.00","512,568,049.00","20,852,930.00","466,402,740.00","1,299,735,070.00","468,387,865.00"
ene-10,"2,800,077,431.00","505,806,036.00","11,090,550.00","478,965,044.00","1,330,436,140.00","473,779,661.00"
feb-10,"2,874,272,682.00","508,495,713.00","11,131,100.00","488,845,318.00","1,400,638,000.00","465,162,551.00"
mar-10,"2,963,221,647.00","517,315,271.00","11,176,260.00","515,303,865.00","1,449,755,570.00","469,670,681.00"
abr-10,"3,024,363,435.00","532,584,516.00","11,220,560.00","526,694,829.00","1,496,826,340.00","457,037,190.00"
may-10,"3,060,505,261.00","523,393,993.00","11,263,750.00","536,236,718.00","1,529,321,970.00","460,288,830.00"
jun-10,"3,071,118,591.00","540,139,318.00",0,"554,151,786.00","1,528,131,540.00","448,695,947.00"
jul-10,"3,146,752,816.00","506,302,358.00",0,"582,339,414.00","1,605,965,610.00","452,145,434.00"
ago-10,"3,129,702,791.00","495,978,783.00",0,"596,237,930.00","1,640,689,830.00","396,796,248.00"
sep-10,"3,223,488,098.00","502,403,396.00",0,"623,244,824.00","1,699,167,510.00","398,672,368.00"
oct-10,"3,228,203,704.00","466,605,911.00",0,"641,318,185.00","1,730,353,430.00","389,926,178.00"
nov-10,"3,194,034,717.00","457,681,850.00",0,"621,251,328.00","1,715,106,130.00","399,995,409.00"
dic-10,"3,152,934,133.00","557,122,523.00",0,"583,070,736.00","1,612,492,190.00","400,248,684.00"
ene-11,"3,156,555,340.42","564,116,899.00",0,"556,039,031.42","1,617,246,920.00","419,152,490.00"
feb-11,"3,187,072,364.61","537,549,369.00",0,"558,879,566.61","1,660,567,130.00","430,076,299.00"
mar-11,"3,242,975,076.32","536,815,279.00",0,"578,246,199.32","1,685,020,470.00","442,893,128.00"
abr-11,"3,355,454,044.04","540,714,531.00",0,"607,622,173.04","1,737,582,000.00","469,535,340.00"
may-11,"3,481,621,107.14","563,173,731.00",0,"624,186,063.14","1,797,896,960.00","496,364,353.00"
jun-11,"3,504,426,975.44","631,863,911.00",0,"619,768,312.44","1,731,058,650.00","521,736,102.00"
