fecha,public_tot,public_intern,public_extern
ene-09,"3,169.70","1,983.82","1,185.88"
feb-09,"3,199.73","1,940.65","1,259.08"
mar-09,"3,233.31","2,056.63","1,176.68"
abr-09,"3,122.11","1,977.27","1,144.84"
may-09,"3,072.51","1,973.00","1,099.51"
jun-09,"3,074.09","1,970.26","1,103.83"
jul-09,"3,133.23","2,026.35","1,106.88"
ago-09,"3,184.46","2,059.88","1,124.58"
sep-09,"3,244.88","2,049.41","1,195.47"
oct-09,"3,327.11","2,157.03","1,170.08"
nov-09,"3,337.64","2,184.03","1,153.61"
dic-09,"3,402.34","2,187.70","1,214.64"
ene-10,"3,424.42","2,181.44","1,242.98"
feb-10,"3,392.70","2,174.53","1,218.17"
mar-10,"3,420.32","2,241.16","1,179.16"
abr-10,"3,408.23","2,231.44","1,176.79"
may-10,"3,498.31","2,266.33","1,231.98"
jun-10,"3,554.16","2,328.70","1,225.46"
jul-10,"3,633.57","2,389.66","1,243.91"
ago-10,"3,685.86","2,379.04","1,306.82"
sep-10,"3,713.04","2,442.28","1,270.76"
oct-10,"3,768.23","2,509.89","1,258.34"
nov-10,"3,721.97","2,454.25","1,267.72"
dic-10,"3,900.55","2,546.57","1,353.98"
ene-11,"3,808.19","2,517.34","1,290.85"
feb-11,"3,845.92","2,522.95","1,322.97"
mar-11,"3,840.74","2,535.45","1,305.29"
abr-11,"3,857.01","2,588.10","1,268.91"
may-11,"3,936.29","2,699.25","1,237.04"
jun-11,"3,975.82","2,704.36","1,271.46"
jul-11,"4,077.41","2,766.40","1,311.01"
ago-11,"4,193.35","2,804.17","1,389.18"
sep-11,"4,364.64","2,814.36","1,550.28"
oct-11,"4,355.20","2,852.52","1,502.68"
nov-11,"4,394.89","2,840.87","1,554.02"
dic-11,"4,519.36","2,904.73","1,614.63"
ene-12,"4,541.84","3,007.69","1,534.15"
feb-12,"4,494.29","2,988.01","1,506.28"
mar-12,"4,498.34","2,979.52","1,518.82"
abr-12,"4,569.09","3,005.86","1,563.23"
may-12,"4,720.59","3,035.46","1,685.13"
jun-12,"4,805.08","3,192.91","1,612.17"
jul-12,"4,919.10","3,298.80","1,620.30"
ago-12,"4,890.66","3,284.45","1,606.21"
sep-12,"4,940.37","3,390.74","1,549.63"
oct-12,"4,899.69","3,316.48","1,583.21"
nov-12,"4,970.88","3,387.02","1,583.86"
dic-12,"5,104.46","3,516.62","1,587.84"
ene-13,"5,147.99","3,547.25","1,600.74"
feb-13,"5,128.12","3,531.87","1,596.25"
